"countyfips","county"
1,"Adams"
3,"Alamosa"
5,"Arapahoe"
7,"Archuleta"
9,"Baca"
11,"Bent"
13,"Boulder"
14,"Broomfield"
15,"Chaffee"
17,"Cheyenne"
19,"Clear Creek"
21,"Conejos"
23,"Costilla"
25,"Crowley"
27,"Custer"
29,"Delta"
31,"Denver"
33,"Dolores"
35,"Douglas"
37,"Eagle"
39,"Elbert"
41,"El Paso"
43,"Fremont"
45,"Garfield"
47,"Gilpin"
49,"Grand"
51,"Gunnison"
53,"Hinsdale"
55,"Huerfano"
57,"Jackson"
59,"Jefferson"
61,"Kiowa"
63,"Kit Carson"
65,"Lake"
67,"La Plata"
69,"Larimer"
71,"Las Animas"
73,"Lincoln"
75,"Logan"
77,"Mesa"
79,"Mineral"
81,"Moffat"
83,"Montezuma"
85,"Montrose"
87,"Morgan"
89,"Otero"
91,"Ouray"
93,"Park"
95,"Phillips"
97,"Pitkin"
99,"Prowers"
101,"Pueblo"
103,"Rio Blanco"
105,"Rio Grande"
107,"Routt"
109,"Saguache"
111,"San Juan"
113,"San Miguel"
115,"Sedgwick"
117,"Summit"
119,"Teller"
121,"Washington"
123,"Weld"
125,"Yuma"
0,"Colorado"
